Season,DayNum_x,WTeamID,WScore_x,LTeamID,LScore_x,WLoc_x,NumOT_x,WState,LState,WSeed,LSeed,WSeedFull,LSeedFull,Conference,Round,Upset,Region,ChalkSeed,GameSlot,X,Y,WTeamName,LTeamName,DayNum_y,WScore_y,LScore_y,WLoc_y,NumOT_y,WFGM,WFGA,WFGM3,WFGA3,WFTM,WFTA,WOR,WDR,WAst,WTO,WStl,WBlk,WPF,LFGM,LFGA,LFGM3,LFGA3,LFTM,LFTA,LOR,LDR,LAst,LTO,LStl,LBlk,LPF
2003,134,1421,92,1411,84,N,1,North Carolina,Texas,16,16,X16b,X16a,Big South Conference,0,False,X,,R0X,,,UNC Asheville,TX Southern,134,92,84,N,1,32,69,11,29,17,26,14,30,17,12,5,3,22,29,67,12,31,14,31,17,28,16,15,5,0,22
2003,136,1112,80,1436,51,N,0,Arizona,Vermont,1,16,Z01,Z16,Pacific-10 Conference,1,False,Z,1.0,R1Z1,15.0,11.0,Arizona,Vermont,136,80,51,N,0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15
2003,136,1113,84,1272,71,N,0,Arizona,Tennessee,10,7,Z10,Z07,Pacific-10 Conference,1,True,Z,7.0,R1Z7,3.0,11.0,Arizona St,Memphis,136,84,71,N,0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18
2003,136,1141,79,1166,73,N,0,Michigan,Nebraska,11,6,Z11,Z06,Mid-American Conference,1,True,Z,6.0,R1Z6,5.0,11.0,C Michigan,Creighton,136,79,73,N,0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21
2003,136,1143,76,1301,74,N,1,California,North Carolina,8,9,W08,W09,Pacific-10 Conference,1,False,W,8.0,R1W8,29.0,1.0,California,NC State,136,76,74,N,1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19
2003,136,1163,58,1140,53,N,0,Connecticut,Utah,5,12,X05,X12,Big East Conference,1,False,X,5.0,R1X5,11.0,1.0,Connecticut,BYU,136,58,53,N,0,17,52,4,14,20,27,12,29,8,14,3,8,16,20,64,2,17,11,13,15,26,11,11,8,4,22
2003,136,1181,67,1161,57,N,0,North Carolina,Colorado,3,14,Z03,Z14,Atlantic Coast Conference,1,False,Z,3.0,R1Z3,7.0,11.0,Duke,Colorado St,136,67,57,N,0,19,54,4,13,25,31,13,27,4,16,10,8,23,18,54,3,11,18,22,11,24,8,19,5,4,19
2003,136,1211,74,1153,69,N,0,Washington,Ohio,9,8,Z09,Z08,West Coast Conference,1,True,Z,8.0,R1Z8,13.0,11.0,Gonzaga,Cincinnati,136,74,69,N,0,20,47,6,14,28,37,8,28,12,12,2,2,15,26,66,10,27,7,10,13,22,13,10,7,6,24
2003,136,1228,65,1443,60,N,0,Illinois,Kentucky,4,13,Z04,Z13,Big Ten Conference,1,False,Z,4.0,R1Z4,9.0,11.0,Illinois,WKU,136,65,60,N,0,24,56,5,14,12,14,15,23,15,14,11,4,14,22,58,8,24,8,13,17,18,10,14,6,5,16
2003,136,1242,64,1429,61,N,0,Kansas,Utah,2,15,Z02,Z15,Big 12 Conference,1,False,Z,2.0,R1Z2,1.0,11.0,Kansas,Utah St,136,64,61,N,0,28,51,2,6,6,11,7,20,13,11,8,4,17,23,56,6,17,9,10,13,19,13,13,6,1,15
2003,136,1266,72,1221,68,N,0,Wisconsin,Massachusetts,3,14,Y03,Y14,Conference USA,1,False,Y,3.0,R1Y3,23.0,11.0,Marquette,Holy Cross,136,72,68,N,0,22,51,9,16,19,23,11,20,14,10,4,3,23,24,54,5,15,15,25,14,20,14,9,4,1,20
2003,136,1281,72,1356,71,N,0,Missouri,Illinois,6,11,Y06,Y11,Big 12 Conference,1,False,Y,6.0,R1Y6,21.0,11.0,Missouri,S Illinois,136,72,71,N,0,28,52,5,13,11,18,9,32,7,23,4,6,19,26,65,8,19,11,21,11,18,19,13,6,0,19
2003,136,1323,70,1454,69,N,0,Indiana,Wisconsin,5,12,Z05,Z12,Big East Conference,1,False,Z,5.0,R1Z5,11.0,11.0,Notre Dame,WI Milwaukee,136,70,69,N,0,23,54,3,13,21,25,11,33,7,20,6,6,19,23,66,8,23,15,20,14,23,15,12,11,3,25
2003,136,1328,71,1354,54,N,0,Oklahoma,South Carolina,1,16,W01,W16,Big 12 Conference,1,False,W,1.0,R1W1,31.0,1.0,Oklahoma,S Carolina St,136,71,54,N,0,24,52,10,18,13,24,11,24,16,14,8,3,12,21,52,6,20,6,8,7,22,8,18,7,2,23
2003,136,1390,77,1360,69,N,0,California,California,4,13,X04,X13,Pacific-10 Conference,1,False,X,4.0,R1X4,9.0,1.0,Stanford,San Diego,136,77,69,N,0,29,64,8,24,11,15,12,29,16,14,4,8,24,20,61,4,18,25,32,17,25,7,11,3,0,18
2003,136,1409,84,1173,71,N,0,Oklahoma,Ohio,13,4,Y13,Y04,Western Athletic Conference,1,True,Y,4.0,R1Y4,25.0,11.0,Tulsa,Dayton,136,84,71,N,0,33,57,8,12,10,13,8,26,18,12,6,1,11,28,66,9,28,6,9,12,16,11,11,3,3,19
2003,136,1458,81,1451,74,N,0,Wisconsin,Utah,5,12,Y05,Y12,Big Ten Conference,1,False,Y,5.0,R1Y5,27.0,11.0,Wisconsin,Weber St,136,81,74,N,0,31,58,6,16,13,22,10,24,16,9,7,2,16,29,71,7,24,9,15,22,21,9,10,4,0,20
2003,137,1120,65,1386,63,N,1,Alabama,Pennsylvania,10,7,W10,W07,Southeastern Conference,1,True,W,7.0,R1W7,19.0,1.0,Auburn,St Joseph's PA,137,65,63,N,1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19
2003,137,1139,47,1280,46,N,0,Indiana,Mississippi,12,5,W12,W05,Horizon League,1,True,W,5.0,R1W5,27.0,1.0,Butler,Mississippi St,137,47,46,N,0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13
2003,137,1196,85,1358,55,N,0,Florida,Texas,2,15,X02,X15,Southeastern Conference,1,False,X,2.0,R1X2,1.0,1.0,Florida,Sam Houston St,137,85,55,N,0,32,61,13,28,8,14,9,31,24,10,6,3,15,19,57,6,18,11,18,12,25,10,16,1,4,16
2003,137,1231,67,1104,62,N,0,Indiana,Alabama,7,10,Y07,Y10,Big Ten Conference,1,False,Y,7.0,R1Y7,19.0,11.0,Indiana,Alabama,137,67,62,N,0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21
2003,137,1246,95,1237,64,N,0,Kentucky,Indiana,1,16,Y01,Y16,Southeastern Conference,1,False,Y,1.0,R1Y1,31.0,11.0,Kentucky,IUPUI,137,95,64,N,0,40,65,10,20,5,11,10,25,22,13,7,4,17,22,60,4,15,16,22,15,18,10,19,7,1,15
2003,137,1257,86,1122,64,N,0,Kentucky,Tennessee,4,13,W04,W13,Conference USA,1,False,W,4.0,R1W4,25.0,1.0,Louisville,Austin Peay,137,86,64,N,0,35,70,8,24,8,13,15,29,18,12,12,4,22,24,54,2,21,14,22,8,21,11,18,5,3,18
2003,137,1268,75,1423,73,N,0,Maryland,North Carolina,6,11,X06,X11,Atlantic Coast Conference,1,False,X,6.0,R1X6,5.0,1.0,Maryland,UNC Wilmington,137,75,73,N,0,27,54,10,19,11,15,8,27,17,13,3,3,20,20,55,13,29,20,26,10,19,16,8,7,1,19
2003,137,1277,79,1160,64,N,0,Michigan,Colorado,7,10,X07,X10,Big Ten Conference,1,False,X,7.0,R1X7,3.0,1.0,Michigan St,Colorado,137,79,64,N,0,26,56,7,13,20,25,10,28,16,11,5,1,18,26,60,5,14,7,17,12,23,9,13,6,8,19
2003,137,1329,77,1335,63,N,0,Oklahoma,Pennsylvania,6,11,W06,W11,Big 12 Conference,1,False,W,6.0,R1W6,21.0,1.0,Oklahoma St,Penn,137,77,63,N,0,27,50,7,20,16,28,10,15,15,11,12,0,17,20,41,8,18,15,16,2,13,17,18,5,0,20
2003,137,1338,87,1447,61,N,0,Pennsylvania,New York,2,15,Y02,Y15,Big East Conference,1,False,Y,2.0,R1Y2,17.0,11.0,Pittsburgh,Wagner,137,87,61,N,0,33,59,9,16,12,21,10,23,22,9,14,6,19,21,51,7,21,12,18,9,20,13,19,6,2,20
2003,137,1345,80,1261,56,N,0,Indiana,Louisiana,9,8,X09,X08,Big Ten Conference,1,True,X,8.0,R1X8,13.0,1.0,Purdue,LSU,137,80,56,N,0,27,52,9,16,17,19,8,25,7,19,9,1,18,20,60,6,26,10,17,17,18,7,16,7,3,13
2003,137,1393,76,1264,65,N,0,New York,New York,3,14,W03,W14,Big East Conference,1,False,W,3.0,R1W3,23.0,1.0,Syracuse,Manhattan,137,76,65,N,0,30,52,4,11,12,15,11,28,16,18,5,9,17,22,61,6,21,15,18,14,14,16,11,9,2,14
2003,137,1400,82,1421,61,N,0,Texas,North Carolina,1,16,X01,X16b,Big 12 Conference,1,False,X,1.0,R1X1,15.0,1.0,Texas,UNC Asheville,137,82,61,N,0,31,62,6,16,14,20,19,28,15,14,6,2,16,23,62,5,21,10,12,13,16,5,11,9,3,16
2003,137,1428,60,1332,58,N,0,Utah,Oregon,9,8,Y09,Y08,Mountain West Conference,1,True,Y,8.0,R1Y8,29.0,11.0,Utah,Oregon,137,60,58,N,0,18,61,9,23,15,18,13,23,8,15,7,4,22,19,55,3,17,17,24,13,29,8,17,6,2,22
2003,137,1448,76,1190,73,N,0,North Carolina,Tennessee,2,15,W02,W15,Atlantic Coast Conference,1,False,W,2.0,R1W2,17.0,1.0,Wake Forest,ETSU,137,76,73,N,0,29,69,6,23,12,20,19,29,13,19,8,9,19,24,60,5,10,20,28,13,25,7,15,12,4,20
2003,137,1462,71,1407,59,N,0,Ohio,Alabama,3,14,X03,X14,Atlantic 10 Conference,1,False,X,3.0,R1X3,7.0,1.0,Xavier,Troy,137,71,59,N,0,26,64,6,20,13,18,17,30,19,10,5,4,11,23,65,11,29,2,6,12,21,13,9,6,6,19
2003,138,1112,96,1211,95,N,2,Arizona,Washington,1,9,Z01,Z09,Pacific-10 Conference,2,False,Z,1.0,R2Z1,14.0,10.0,Arizona,Gonzaga,138,96,95,N,2,34,74,7,24,21,29,18,29,18,9,7,4,20,34,77,11,30,16,21,16,27,20,11,5,5,25
