"Season","DayNum","WTeamID","WScore","LTeamID","LScore","WLoc","NumOT","WState","LState","WSeed","LSeed","WSeedFull","LSeedFull","WConf","LConf"
1985,136,1116,63,1234,54,"N",0,"Arkansas","Iowa","09","08","X09","X08","swc","big_ten"
1985,136,1120,59,1345,58,"N",0,"Alabama","Indiana","11","06","Z11","Z06","sec","big_ten"
1985,136,1207,68,1250,43,"N",0,"Washington D.C.","Pennsylvania","01","16","W01","W16","big_east","ecc"
1985,136,1229,58,1425,55,"N",0,"Illinois","California","09","08","Y09","Y08","mvc","pac_ten"
1985,136,1242,49,1325,38,"N",0,"Kansas","Ohio","03","14","Z03","Z14","big_eight","mac"
1985,136,1246,66,1449,58,"N",0,"Kentucky","Washington","12","05","X12","X05","sec","pac_ten"
1985,136,1256,78,1338,54,"N",0,"Louisiana","Pennsylvania","05","12","Y05","Y12","southland","big_east"
1985,136,1260,59,1233,58,"N",0,"Illinois","New York","04","13","W04","W13","mw_city","maac"
1985,136,1314,76,1292,57,"N",0,"North Carolina","Tennessee","02","15","Z02","Z15","acc","ovc"
1985,136,1323,79,1333,70,"N",0,"Indiana","Oregon","07","10","Z07","Z10","ind","pac_ten"
1985,136,1326,75,1235,64,"N",0,"Ohio","Iowa","04","13","Y04","Y13","big_ten","big_eight"
1985,136,1328,96,1299,83,"N",0,"Oklahoma","North Carolina","01","16","Y01","Y16","big_eight","meac"
1985,136,1374,85,1330,68,"N",0,"Texas","Virginia","05","12","W05","W12","swc","sun_belt"
1985,136,1385,83,1380,59,"N",0,"New York","Louisiana","01","16","X01","X16","big_east","swac"
1985,136,1396,60,1439,57,"N",0,"Pennsylvania","Virginia","08","09","W08","W09","a_ten","metro"
1985,136,1424,85,1361,80,"N",0,"Nevada","California","04","13","X04","X13","pcaa","wac"
1985,137,1104,50,1112,41,"N",0,"Alabama","Arizona","07","10","X07","X10","sec","pac_ten"
1985,137,1130,55,1403,53,"N",0,"Massachusetts","Texas","11","06","Y11","Y06","big_east","swc"
1985,137,1181,75,1337,62,"N",0,"North Carolina","California","03","14","Y03","Y14","acc","wcc"
1985,137,1208,67,1455,59,"N",0,"Georgia","Kansas","06","11","W06","W11","sec","mvc"
1985,137,1210,65,1273,58,"N",0,"Georgia","Georgia","02","15","W02","W15","acc","a_sun"
1985,137,1228,76,1318,57,"N",0,"Illinois","Massachusetts","03","14","W03","W14","big_ten","ecacn"
1985,137,1268,69,1275,68,"N",1,"Maryland","Ohio","05","12","Z05","Z12","acc","mac"
1985,137,1272,67,1335,55,"N",0,"Tennessee","Pennsylvania","02","15","Y02","Y15","metro","ivy"
1985,137,1276,59,1192,55,"N",0,"Michigan","New Jersey","01","16","Z01","Z16","big_ten","ecacm"
1985,137,1298,78,1261,55,"N",0,"Maryland","Louisiana","13","04","Z13","Z04","ecacs","sec"
1985,137,1301,65,1305,56,"N",0,"North Carolina","Nevada","03","14","X03","X14","acc","big_sky"
1985,137,1393,70,1177,65,"N",0,"New York","Illinois","07","10","W07","W10","big_east","ind"
1985,137,1412,70,1277,68,"N",0,"Alabama","Michigan","07","10","Y07","Y10","sun_belt","big_ten"
1985,137,1431,79,1409,75,"N",0,"Texas","Oklahoma","11","06","X11","X06","wac","mvc"
1985,137,1433,81,1267,65,"N",0,"Virginia","West Virginia","02","15","X02","X15","sun_belt","southern"
1985,137,1437,51,1173,49,"N",0,"Pennsylvania","Ohio","08","09","Z08","Z09","big_east","ind"
1985,138,1120,66,1242,64,"N",0,"Alabama","Kansas","11","03","Z11","Z03","sec","big_eight"
1985,138,1207,63,1396,46,"N",0,"Washington D.C.","Pennsylvania","01","08","W01","W08","big_east","a_ten"
1985,138,1246,64,1424,61,"N",0,"Kentucky","Nevada","12","04","X12","X04","sec","pcaa"
1985,138,1256,79,1326,67,"N",0,"Louisiana","Ohio","05","04","Y05","Y04","southland","big_ten"
1985,138,1260,70,1374,57,"N",0,"Illinois","Texas","04","05","W04","W05","mw_city","swc"
1985,138,1314,60,1323,58,"N",0,"North Carolina","Indiana","02","07","Z02","Z07","acc","ind"
1985,138,1328,75,1229,69,"N",0,"Oklahoma","Illinois","01","09","Y01","Y09","big_eight","mvc"
1985,138,1385,68,1116,65,"N",0,"New York","Arkansas","01","09","X01","X09","big_east","swc"
1985,139,1104,63,1433,59,"N",0,"Alabama","Virginia","07","02","X07","X02","sec","sun_belt"
1985,139,1130,74,1181,73,"N",0,"Massachusetts","North Carolina","11","03","Y11","Y03","big_east","acc"
1985,139,1210,70,1393,53,"N",0,"Georgia","New York","02","07","W02","W07","acc","big_east"
1985,139,1228,74,1208,58,"N",0,"Illinois","Georgia","03","06","W03","W06","big_ten","sec"
1985,139,1268,64,1298,59,"N",0,"Maryland","Maryland","05","13","Z05","Z13","acc","ecacs"
1985,139,1272,67,1412,66,"N",1,"Tennessee","Alabama","02","07","Y02","Y07","metro","sun_belt"
1985,139,1301,86,1431,73,"N",0,"North Carolina","Texas","03","11","X03","X11","acc","wac"
1985,139,1437,59,1276,55,"N",0,"Pennsylvania","Michigan","08","01","Z08","Z01","big_east","big_ten"
